algorithm,twenty,fourty,sixty,eighty,hundred,time
ssl3-sha1,2,1,3,1,3,0.0032294999999976427
ssl3-md5,2,1,6,1,0,0.0035897999999860986
sm3,2,4,2,1,1,0.003707299999996394
sm3WithRSAEncryption,2,3,3,2,0,0.00373939999999493
sha256WithRSAEncryption,2,1,3,1,3,0.0037552999999888926
sha512-256WithRSAEncryption,5,2,0,2,1,0.0038782999999966705
sha224WithRSAEncryption,0,4,2,1,3,0.003959099999997306
sha384,2,1,3,0,4,0.0040135000000191216
sha512,2,0,2,3,3,0.004075600000032864
sha512WithRSAEncryption,2,0,4,3,1,0.004155900000023393
sha3-256,0,2,2,4,2,0.004179499999963809
sha256,2,1,2,3,2,0.004241900000033638
sha3-384,1,1,1,6,1,0.00427009999996244
md5WithRSAEncryption,1,2,3,3,1,0.004275799999982155
sha512-256,1,1,4,2,2,0.004355000000032305
RSA-SHA1-2,4,5,0,0,1,0.0044210999999904745
md5,1,3,3,1,2,0.004421900000011192
sha3-224,3,4,1,0,2,0.004568000000017491
ripemd160WithRSA,3,2,1,4,0,0.004569599999990714
shake256,2,1,4,1,2,0.004675699999984318
ripemd160,3,3,1,2,1,0.004912599999943268
sha3-512,0,0,2,5,3,0.004974400000014612
ripemd,3,1,2,3,1,0.004983599999968646
RSA-SHA1,4,2,1,0,3,0.00519430000003922
sha512-224WithRSAEncryption,2,3,2,0,3,0.0053963000000521785
RSA-SHA256,1,3,2,2,2,0.0056038999999827865
RSA-RIPEMD160,2,1,2,3,2,0.005785699999978533
RSA-SHA3-224,1,2,3,3,1,0.005870399999957953
RSA-SHA512/256,1,1,4,2,2,0.006042200000069897
id-rsassa-pkcs1-v1_5-with-sha3-256,5,2,1,1,1,0.006060000000002219
RSA-SHA224,3,2,3,0,2,0.00607990000000882
RSA-SHA512/224,1,1,2,2,4,0.00631380000002082
RSA-SM3,2,3,1,4,0,0.006321300000013253
id-rsassa-pkcs1-v1_5-with-sha3-224,0,1,5,2,2,0.006388199999946664
RSA-SHA3-256,0,1,3,3,3,0.006477000000018052
blake2s256,3,2,1,2,2,0.006747599999971499
md5-sha1,2,1,2,1,4,0.006775200000060977
sha1WithRSAEncryption,2,0,5,2,1,0.00686600000008184
shake128,0,2,3,1,4,0.007241600000020299
id-rsassa-pkcs1-v1_5-with-sha3-384,1,1,3,4,1,0.007454000000075211
RSA-SHA512,0,1,2,6,1,0.00823579999996582
id-rsassa-pkcs1-v1_5-with-sha3-512,2,5,2,0,1,0.008338900000012472
RSA-SHA3-512,3,2,1,2,2,0.009259399999996277
blake2b512,4,1,0,2,3,0.009273800000028132
RSA-SHA3-384,2,4,1,2,1,0.009985200000005533
RSA-SHA384,0,2,2,3,3,0.01153970000004847
rmd160,2,2,3,1,2,0.012124599999992824
sha512-224,2,1,2,2,3,0.014120500000012725
sha1,0,5,1,1,3,0.019771500000001652
RSA-MD5,4,1,2,3,0,0.024272899999959918
sha224,1,2,1,5,1,0.04870740000001206
sha384WithRSAEncryption,2,3,2,1,2,0.08751589999999396
