algorithm,twenty,fourty,sixty,eighty,hundred,time
gb32_hybrid,19,23,18,19,21,0.00016038999997363134
custom,18,7,11,23,41,0.00017737999999098975
gb32_old,18,18,22,16,26,0.00020055999999385677
djb2,10,10,0,20,60,0.00033771000001252103
graham,0,10,90,0,0,0.0004381999999532127
gb64,23,21,16,18,22,0.0004634600000190403
gb32,16,19,18,23,24,0.0005605999999897904
fnv1a,22,17,22,16,23,0.0010291600000118706
md5WithRSAEncryption,23,21,21,17,18,0.0015750499999921885
md5,23,21,21,17,18,0.0016542300000037358
sha1WithRSAEncryption,27,12,25,19,17,0.0016972599999871818
sha1,27,12,25,19,17,0.0016990499999928943
ssl3-sha1,27,12,25,19,17,0.001727879999975812
rmd160,16,17,17,25,25,0.0017392100000279242
ripemd160WithRSA,16,17,17,25,25,0.001759610000012799
ripemd,16,17,17,25,25,0.001764010000028975
ripemd160,16,17,17,25,25,0.0017830700000058641
sha224WithRSAEncryption,25,25,21,20,9,0.0018267799999739508
sha256,15,26,17,24,18,0.001836339999986194
sha256WithRSAEncryption,15,26,17,24,18,0.0018366899999728047
RSA-MD5,23,21,21,17,18,0.0018510900000137554
RSA-RIPEMD160,16,17,17,25,25,0.0018597099999624334
blake2s256,23,15,19,27,16,0.0019093800000246118
sha512-224WithRSAEncryption,22,22,22,22,12,0.001932049999982155
RSA-SHA256,15,26,17,24,18,0.0019354100000282416
RSA-SHA224,25,25,21,20,9,0.001947190000032606
sha512-224,22,22,22,22,12,0.0019590600000037738
sha512-256WithRSAEncryption,21,23,24,16,16,0.001988039999996545
RSA-SM3,18,21,21,18,22,0.00200342000001001
RSA-SHA512/224,22,22,22,22,12,0.0020042900000271403
RSA-SHA512/256,21,23,24,16,16,0.002007520000029217
ssl3-md5,23,21,21,17,18,0.002012880000002042
sha512-256,21,23,24,16,16,0.002025059999991754
shake128,22,21,13,23,21,0.0020304899999928237
RSA-SHA1,27,12,25,19,17,0.002036420000013095
RSA-SHA1-2,27,12,25,19,17,0.0020688300000119854
md5-sha1,27,12,25,19,17,0.002084120000004077
sha384,18,24,24,17,17,0.002113310000017918
sha384WithRSAEncryption,18,24,24,17,17,0.0021509300000025176
RSA-SHA3-224,31,17,16,17,19,0.002172480000008363
RSA-SHA3-256,21,19,14,20,26,0.0022487900000078298
id-rsassa-pkcs1-v1_5-with-sha3-224,31,17,16,17,19,0.002281249999996362
id-rsassa-pkcs1-v1_5-with-sha3-256,21,19,14,20,26,0.0023234299999785437
sha3-256,21,19,14,20,26,0.0024130700000068827
sha3-384,19,20,30,14,17,0.0024171400000159338
RSA-SHA384,18,24,24,17,17,0.0024733900000046562
sha3-224,31,17,16,17,19,0.0024942699999974138
RSA-SHA3-384,19,20,30,14,17,0.0025054799999861643
id-rsassa-pkcs1-v1_5-with-sha3-384,19,20,30,14,17,0.0025216299999874536
id-rsassa-pkcs1-v1_5-with-sha3-512,15,24,19,27,15,0.00254160999996202
sha512,24,16,15,23,22,0.002631369999976414
sha3-512,15,24,19,27,15,0.0026562400000102572
RSA-SHA3-512,15,24,19,27,15,0.0026738600000089717
shake256,22,17,17,18,26,0.0028022699999837642
sm3WithRSAEncryption,18,21,21,18,22,0.0028329699999812873
RSA-SHA512,24,16,15,23,22,0.0028622000000041226
blake2b512,19,19,18,25,19,0.0030406399999719723
sha224,25,25,21,20,9,0.0030945400000200606
sm3,18,21,21,18,22,0.0038173899999810602
sha512WithRSAEncryption,24,16,15,23,22,0.004882980000002135
